                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.54047,                0.36616,                 1.0148,                0.77161,                 0.7046,                0.74882,                0.48266,                 1.4487,                 1.1958,                 1.7649,              0.0076438,              0.0076438,              0.0076438
                    121,                0.52859,                0.35962,                 1.0081,                0.78196,                0.68635,                0.73737,                0.48071,                 1.4459,                 1.2482,                 1.7612,               0.007624,               0.007624,               0.007624
                    122,                 0.5284,                0.36355,                 1.0096,                0.77685,                0.68443,                0.74327,                0.48172,                  1.444,                  1.228,                 1.7549,              0.0076042,              0.0076042,              0.0076042
                    123,                0.53084,                0.36448,                 1.0052,                0.78216,                0.68006,                0.74116,                0.48555,                  1.442,                 1.2371,                  1.747,              0.0075844,              0.0075844,              0.0075844
                    124,                0.52909,                0.36088,                 1.0067,                0.76576,                0.68788,                0.74023,                0.47874,                 1.4535,                 1.2427,                 1.7501,              0.0075646,              0.0075646,              0.0075646
                    125,                0.52684,                0.36287,                 1.0049,                0.81667,                 0.6874,                0.75493,                0.48338,                 1.4494,                 1.2055,                 1.7404,              0.0075448,              0.0075448,              0.0075448
                    126,                0.52407,                0.35687,                 1.0045,                0.80242,                0.70762,                 0.7584,                0.48864,                 1.4458,                 1.1556,                 1.7453,               0.007525,               0.007525,               0.007525
                    127,                0.52749,                0.36049,                 1.0077,                0.77488,                0.70352,                0.75716,                 0.4926,                 1.4369,                  1.199,                  1.739,              0.0075052,              0.0075052,              0.0075052
                    128,                0.51674,                0.35217,                0.99869,                0.77959,                0.69966,                0.75746,                 0.5001,                 1.4261,                 1.1711,                 1.7279,              0.0074854,              0.0074854,              0.0074854
                    129,                0.52361,                0.35448,                 1.0049,                0.84711,                0.67126,                0.76963,                0.50524,                 1.4164,                 1.1436,                 1.7188,              0.0074656,              0.0074656,              0.0074656
                    130,                0.52597,                 0.3566,                 1.0042,                0.84592,                0.69348,                0.77237,                0.51065,                 1.4091,                 1.0907,                 1.7256,              0.0074458,              0.0074458,              0.0074458
                    131,                0.52418,                0.35517,                 1.0019,                0.83578,                0.69524,                0.76531,                 0.5041,                 1.4271,                 1.1062,                 1.7527,               0.007426,               0.007426,               0.007426
                    132,                0.51812,                0.35573,                  1.001,                0.80386,                0.69258,                0.75527,                0.49843,                 1.4385,                 1.1302,                 1.7622,              0.0074062,              0.0074062,              0.0074062
                    133,                0.52074,                0.35383,                  1.006,                0.83971,                0.67461,                0.74961,                0.49514,                 1.4512,                 1.1439,                 1.7714,              0.0073864,              0.0073864,              0.0073864
                    134,                0.52264,                0.35835,                 1.0042,                0.81431,                0.68245,                0.75131,                0.49733,                 1.4453,                 1.1644,                 1.7641,              0.0073666,              0.0073666,              0.0073666
                    135,                0.51721,                0.35393,                 1.0009,                 0.7935,                0.69323,                0.74468,                 0.4997,                 1.4285,                 1.1654,                 1.7368,              0.0073468,              0.0073468,              0.0073468
                    136,                0.51151,                0.34668,                0.99959,                0.83395,                0.68589,                0.74501,                0.49164,                 1.4302,                 1.2096,                 1.7402,               0.007327,               0.007327,               0.007327
                    137,                0.51213,                0.34509,                0.99914,                0.87102,                0.66665,                0.74369,                0.49051,                 1.4386,                 1.1864,                 1.7487,              0.0073072,              0.0073072,              0.0073072
                    138,                0.51687,                  0.348,                 1.0005,                0.85473,                0.66875,                0.74192,                0.49642,                 1.4291,                 1.2075,                 1.7445,              0.0072874,              0.0072874,              0.0072874
                    139,                0.50579,                0.34296,                0.99462,                0.80714,                0.68515,                0.73418,                0.49447,                  1.444,                 1.2679,                 1.7565,              0.0072676,              0.0072676,              0.0072676
                    140,                0.51398,                0.34771,                0.99893,                0.81183,                0.69029,                0.73799,                0.49743,                 1.4353,                 1.2682,                 1.7547,              0.0072478,              0.0072478,              0.0072478
                    141,                0.51002,                0.34755,                0.99528,                0.81478,                0.66569,                0.73126,                0.49475,                 1.4368,                 1.3123,                 1.7545,               0.007228,               0.007228,               0.007228
                    142,                0.51399,                0.35307,                 1.0006,                0.80418,                0.66925,                0.73268,                0.49288,                 1.4476,                 1.3257,                 1.7583,              0.0072082,              0.0072082,              0.0072082
                    143,                0.50394,                0.34451,                0.99399,                0.81181,                0.68921,                0.74437,                0.49837,                 1.4413,                 1.2849,                 1.7553,              0.0071884,              0.0071884,              0.0071884
                    144,                0.51198,                0.34763,                0.99943,                0.80338,                0.70057,                0.74813,                 0.4987,                 1.4448,                 1.2361,                 1.7647,              0.0071686,              0.0071686,              0.0071686
                    145,                0.50369,                0.34177,                0.99764,                0.82739,                0.70057,                0.75841,                0.50398,                 1.4307,                 1.1695,                 1.7509,              0.0071488,              0.0071488,              0.0071488
                    146,                 0.5001,                0.33616,                0.99201,                0.81679,                0.71528,                0.76568,                0.50698,                 1.4335,                 1.1367,                 1.7507,               0.007129,               0.007129,               0.007129
                    147,                0.50016,                0.34161,                0.99163,                0.82561,                0.69521,                 0.7677,                0.51236,                 1.4281,                 1.1708,                 1.7438,              0.0071092,              0.0071092,              0.0071092
                    148,                0.50183,                 0.3411,                0.99192,                0.80742,                0.71852,                 0.7665,                0.50452,                 1.4318,                 1.1789,                 1.7485,              0.0070894,              0.0070894,              0.0070894
                    149,                0.50162,                0.34139,                0.99384,                0.81286,                0.71332,                0.76309,                0.50537,                 1.4271,                 1.1696,                 1.7419,              0.0070696,              0.0070696,              0.0070696
